District,DISTRICT_NS
27,ALM
26,ALN
28,ALS
7-,AK
70,AZ
60,ARE
61,ARW
73,CAC
72,CAE
71,CAN
74,CAS
82,CO
05,CT
11,DE
90,DC
3A,FLM
29,FLN
3C,FLS
3G,GAM
3E,GAN
3J,GAS
93,GUAM
75,HI
76,ID
53,ILC
52,ILN
54,ILS
55,INN
56,INS
62,IAN
63,IAS
83,KS
43,KYE
44,KYW
3L,LAE
3N,LAM
36,LAW
00,ME
16,MD
01,MA
45,MIE
46,MIW
64,MN
37,MSN
38,MSS
65,MOE
66,MOW
77,MT
67,NE
78,NV
02,NH
12,NJ
84,NM
07,NYE
06,NYN
08,NYS
09,NYW
17,NCE
18,NCM
19,NCW
68,ND
94,NMI
47,OHN
48,OHS
86,OKE
85,OKN
87,OKW
79,OR
13,PAE
14,PAM
15,PAW
04,PR
03,RI
20,SC
69,SD
49,TNE
50,TNM
51,TNW
40,TXE
39,TXN
41,TXS
42,TXW
88,UT
10,VT
22,VAE
23,VAW
91,VI
80,WAE
81,WAW
24,WVN
25,WVS
57,WIE
58,WIW
89,WY
