YEAR,FARMS,FARM_CHANGE,FARM_PCT_CHANGE
1910,6406200,NA,NA
1911,6424600,18400,0.002872217539258843
1912,6429900,5300,8.24954082744451e-4
1913,6437200,7300,0.001135320922564892
1914,6446800,9600,0.0014913316348723047
1915,6457700,10900,0.0016907613079357202
1916,6463300,5600,8.671818139585301e-4
1917,6477600,14300,0.0022124920706140827
1918,6487500,9900,0.0015283438310485366
1919,6506000,18500,0.002851637764932563
1920,6517500,11500,0.0017675991392560714
1921,6510700,-6800,-0.0010433448408131952
1922,6499600,-11100,-0.0017048858033698374
1923,6491800,-7800,-0.0012000738506985045
1924,6480100,-11700,-0.001802273637511938
1925,6470600,-9500,-0.0014660267588463142
1926,6461600,-9000,-0.001390906561988069
1927,6458100,-3500,-5.416615079856383e-4
1928,6469700,11600,0.001796193927006395
1929,6511600,41900,0.0064763435707992645
1930,6545600,34000,0.005221450949075496
1931,6608500,62900,0.009609508677584942
1932,6686750,78250,0.011840811076643717
1933,6740750,54000,0.008075672037985569
1934,6775900,35150,0.005214553276712532
1935,6813700,37800,0.005578594725423929
1936,6739150,-74550,-0.010941192010214715
1937,6635850,-103300,-0.015328342595134402
1938,6526700,-109150,-0.016448533345389062
1939,6440900,-85800,-0.013146000275790215
1940,6349800,-91100,-0.01414398608890062
1941,6293250,-56550,-0.008905792308419163
1942,6201800,-91450,-0.014531442418464227
1943,6089000,-112800,-0.01818826792221613
1944,6003400,-85600,-0.014058137625225817
1945,5966750,-36650,-0.006104873904787287
1946,5925650,-41100,-0.006888171952905686
1947,5870950,-54700,-0.009231054820990103
1948,5803000,-67950,-0.011573936075081545
1949,5722250,-80750,-0.013915216267447872
1950,5647800,-74450,-0.013010616453318188
1951,5427600,-220200,-0.03898863274195262
1952,5197500,-230100,-0.042394428476674774
1953,4983600,-213900,-0.04115440115440115
1954,4798200,-185400,-0.03720202263424031
1955,4653800,-144400,-0.030094618815389104
1956,4514100,-139700,-0.030018479522110963
1957,4371700,-142400,-0.03154560155955783
1958,4232900,-138800,-0.03174966260264885
1959,4104520,-128380,-0.0303290888043658
1960,3962520,-142000,-0.03459600635397075
1961,3825410,-137110,-0.03460171809858373
1962,3692410,-133000,-0.03476751511602678
1963,3572200,-120210,-0.03255597292825011
1964,3456690,-115510,-0.03233581546385981
1965,3356170,-100520,-0.029079842276860234
1966,3257040,-99130,-0.029536644448880718
1967,3161730,-95310,-0.02926276619261661
1968,3070860,-90870,-0.02874059454792155
1969,3000180,-70680,-0.02301635372501514
1970,2949140,-51040,-0.01701231259457766
1971,2902310,-46830,-0.015879205463287603
1972,2859880,-42430,-0.014619389382939796
1973,2823260,-36620,-0.012804733065723037
1974,2795460,-27800,-0.009846772879578927
1975,2521420,-274040,-0.09803037782690505
1976,2497270,-24150,-0.009577936242276177
1977,2455830,-41440,-0.01659412077989164
1978,2436250,-19580,-0.007972864571244753
1979,2437300,1050,4.3099025141098e-4
1980,2439510,2210,9.067410659336151e-4
1981,2439920,410,1.6806653795229369e-4
1982,2406550,-33370,-0.013676677923866357
1983,2378620,-27930,-0.011605825767177079
1984,2333810,-44810,-0.018838654345797144
1985,2292530,-41280,-0.017687815203465577
1986,2249820,-42710,-0.01863007245270509
1987,2212960,-36860,-0.01638353290485461
1988,2200940,-12020,-0.00543163907165064
1989,2174520,-26420,-0.012003961943533217
1990,2145820,-28700,-0.0131983150304435
1991,2116760,-29060,-0.013542608420091154
1992,2107840,-8920,-0.004213987414728169
1993,2201590,93750,0.044476810384089877
1994,2197690,-3900,-0.0017714469996684215
1995,2196400,-1290,-5.8697996532723e-4
1996,2190500,-5900,-0.0026862138044072116
1997,2190510,10,4.565167769915545e-6
1998,2192330,1820,8.30856741124213e-4
1999,2187280,-5050,-0.002303485332956261
2000,2166780,-20500,-0.009372371164185656
2001,2148630,-18150,-0.00837648492232714
2002,2135360,-13270,-0.0061760284460330534
2003,2126860,-8500,-0.0039805934362355765
2004,2112970,-13890,-0.00653075425744995
2005,2098690,-14280,-0.006758259700800295
2006,2088790,-9900,-0.004717228366266576
2007,2204950,116160,0.0556111432934857
2008,2184500,-20450,-0.009274586725322569
2009,2169660,-14840,-0.006793316548409247
2010,2149520,-20140,-0.009282560401168847
2011,2131240,-18280,-0.008504224198890915
2012,2109810,-21430,-0.010055179144535575
2013,2100350,-9460,-0.004483816078225053
2014,2082440,-17910,-0.008527150236865285
2015,2063890,-18550,-0.008907819673075815
2016,2055340,-8550,-0.004142662641904365
2017,2042000,-13340,-0.006490410345733552
2018,2029200,-12800,-0.006268364348677767
2019,2023400,-5800,-0.0028582692686773114
2020,2019000,-4400,-0.002174557675200158
